📅 시각               	| 🌡️ 내온     	| ❄️ 외온     	| 💧 습도   	| ☀️ 광량     	| 😷 CO2    	| 🧬 O2     	| 🌬️ 기압     	| 
2026-04-01 20:16:17   	| 27.55       	| 11.69       	| 58.54     	| 561.18      	| 0.0283    	| 5.71      	| 989.98      	| 
2026-04-01 20:16:17   	| 25.66       	| 10.57       	| 55.82     	| 566.72      	| 0.0835    	| 6.09      	| 1022.97     	| 
2026-04-01 20:16:17   	| 19.17       	| 0.56        	| 64.53     	| 603.27      	| 0.0286    	| 6.94      	| 978.67      	| 
2026-04-01 20:16:17   	| 22.37       	| 0.57        	| 57.2      	| 712.9       	| 0.0344    	| 16.92     	| 1060.01     	| 
2026-04-01 20:16:17   	| 27.39       	| 1.91        	| 39.44     	| 655.37      	| 0.0868    	| 4.66      	| 940.3       	| 
2026-04-01 20:16:19   	| 23.29       	| 10.65       	| 56.3      	| 488.92      	| 0.0494    	| 4.37      	| 983.62      	| 
2026-04-01 20:16:19   	| 19.18       	| 5.02        	| 50.97     	| 667.97      	| 0.0821    	| 4.4       	| 1039.57     	| 
2026-04-01 20:16:19   	| 27.1        	| 8.73        	| 57.47     	| 604.7       	| 0.0278    	| 6.73      	| 997.28      	| 
2026-04-01 20:16:19   	| 21.7        	| 14.58       	| 73.96     	| 599.37      	| 0.0326    	| 5.81      	| 1002.27     	| 
2026-04-01 20:16:19   	| 27.04       	| 14.99       	| 57.8      	| 704.58      	| 0.0322    	| 5.81      	| 965.74      	| 
