📅 시각               	| 🌡️ 내온     	| ❄️ 외온     	| 💧 습도   	| ☀️ 광량     	| 😷 CO2    	| 🧬 O2     	| 🌬️ 기압     	| 
2026-04-02 18:25:38   	| 22.5        	| 11.74       	| 56.66     	| 634.24      	| 0.0323    	| 5.74      	| 970.02      	| 
2026-04-02 18:35:22   	| 21.51       	| 0           	| 57.15     	| 603.64      	| 11.6908   	| 4.02      	| 1035.09     	| 
2026-04-02 18:35:22   	| 18.87       	| 0.15        	| 54.6      	| 699.12      	| 0.0424    	| 6.0       	| 961.38      	| 
2026-04-02 18:35:22   	| 28.29       	| 8.12        	| 52.04     	| 705.23      	| 0.066     	| 10.43     	| 1040.89     	| 
2026-04-02 18:35:22   	| 18.16       	| 7.57        	| 56.8      	| 561.79      	| 0.0831    	| 20.57     	| 1005.44     	| 
2026-04-02 18:35:22   	| 9.21        	| 20.47       	| 59.53     	| 664.63      	| 0.0507    	| 6.6       	| 1040.96     	| 
2026-04-02 18:36:24   	| 24.46       	| 4.52        	| 63.95     	| 508.64      	| 0.0508    	| 0.72      	| 972.55      	| 
2026-04-02 18:36:24   	| 24.7        	| 32.84       	| 55.24     	| 531.93      	| 0.0207    	| 18.21     	| 952.43      	| 
2026-04-02 18:36:24   	| 22.37       	| 6.93        	| 43.02     	| 593.97      	| 0.0966    	| 4.88      	| 937.42      	| 
2026-04-02 18:36:24   	| 23.1        	| 17.49       	| 51.01     	| 666.51      	| 0.0716    	| 18.87     	| 1021.27     	| 
2026-04-02 18:36:24   	| 28.82       	| 17.92       	| 59.12     	| 585.34      	| 0.042     	| 0         	| 987.12      	| 2026-04-02 19:45:04   	| 26.43       	| 17.74       	| 54.9      	| 573.78      	| 0.0518    	| 5.12      	| 1057.08     	| 
2026-04-02 19:45:05   	| 29.77       	| 10.51       	| 54.46     	| 590.06      	| 0.0366    	| 4.16      	| 964.95      	| 
2026-04-02 19:45:05   	| 38.37       	| 12.58       	| 56.48     	| 528.77      	| 0.0292    	| 6.86      	| 1043.85     	| 
2026-04-02 19:45:05   	| 29.93       	| 13.6        	| 54.72     	| 637.72      	| 0.0972    	| 5.53      	| 960.91      	| 
2026-04-02 19:45:05   	| 15.06       	| 5.87        	| 51.54     	| 653.48      	| 0.0647    	| 4.27      	| 1016.14     	| 
2026-04-02 19:49:31   	| 28.04       	| 0           	| 54.17     	| 488.15      	| 0.0811    	| 6.01      	| 957.58      	| 
2026-04-02 19:49:31   	| 21.7        	| 14.01       	| 53.36     	| 635.12      	| 0.071     	| 6.58      	| 977.08      	| 
2026-04-02 19:49:31   	| 26.98       	| 12.95       	| 53.02     	| 624.11      	| 0.031     	| 21.9      	| 963.2       	| 
2026-04-02 19:49:31   	| 18.79       	| 12.46       	| 52.34     	| 688.54      	| 0.0767    	| 4.06      	| 990.3       	| 
2026-04-02 19:49:31   	| 29.22       	| 1.64        	| 37.24     	| 570.01      	| 0.0261    	| 12.27     	| 1029.92     	| 
